dag51.txt 4_1x1.txt 0.24242424242424243 0.5 1511424.0 [1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag51.txt 5_4_3_2x3.txt 0.40404040404040403 0.5 212992.0 [7, 4, 3, 8, 4, 3, 4, 1, 8, 9, 11, 9, 8, 10, 8, 11, 10, 4, 9, 9, 7, 4, 3, 6, 6, 6, 10, 9, 6, 8, 0, 8, 6, 6, 1, 0, 10, 1, 6, 6, 6, 6, 6, 6, 6, 0, 9, 0, 1, 1, 5, 5, 2, 11, 11, 2, 9, 11, 8, 2, 9, 2, 9, 5, 5, 5, 9, 9] 
dag51.txt 4_1x5.txt 0.5656565656565656 0.8 339968.0 [1, 6, 1, 1, 6, 4, 7, 2, 4, 6, 8, 0, 1, 4, 0, 9, 1, 7, 8, 8, 0, 0, 0, 5, 8, 5, 2, 8, 5, 1, 8, 0, 5, 5, 9, 2, 4, 4, 8, 8, 5, 2, 8, 2, 5, 2, 6, 6, 4, 4, 0, 6, 8, 5, 3, 3, 6, 3, 2, 4, 6, 3, 8, 2, 6, 6, 6, 6] 
dag51.txt 5_4_3_2x5.txt 0.48484848484848486 0.5 147456.0 [2, 6, 12, 3, 15, 4, 14, 8, 18, 1, 7, 5, 3, 4, 3, 7, 12, 6, 1, 1, 19, 12, 12, 12, 10, 9, 2, 10, 5, 2, 8, 5, 5, 5, 13, 14, 13, 13, 9, 9, 5, 9, 10, 10, 9, 10, 1, 0, 13, 13, 18, 0, 17, 9, 9, 17, 1, 9, 9, 11, 1, 17, 16, 16, 1, 16, 17, 16] 
dag51.txt 4_1x1.txt 0.24242424242424243 0.55 1511424.0 [1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag51.txt 3_2x3.txt 0.41414141414141414 0.6 496981.3333333333 [2, 4, 2, 4, 4, 0, 4, 2, 2, 1, 5, 3, 4, 0, 4, 5, 2, 4, 0, 5, 2, 2, 2, 2, 5, 4, 2, 5, 4, 4, 5, 4, 4, 3, 0, 5, 0, 0, 3, 3, 4, 4, 5, 3, 4, 5, 1, 0, 0, 0, 1, 1, 3, 0, 1, 3, 1, 1, 4, 1, 1, 1, 5, 3, 1, 1, 1, 1] 
dag51.txt 4_1x5.txt 0.5656565656565656 0.9 339968.0 [1, 6, 1, 1, 6, 4, 7, 2, 4, 6, 8, 0, 1, 4, 0, 9, 1, 7, 8, 8, 0, 0, 0, 5, 8, 5, 2, 8, 5, 1, 8, 0, 5, 5, 9, 2, 4, 4, 8, 8, 5, 2, 8, 2, 5, 2, 6, 6, 4, 4, 0, 6, 8, 5, 3, 3, 6, 3, 2, 4, 6, 3, 8, 2, 6, 6, 6, 6] 
dag51.txt 5_4_3_2x3.txt 0.45454545454545453 0.55 209715.2 [9, 6, 2, 1, 0, 0, 6, 0, 9, 8, 3, 7, 1, 0, 1, 3, 2, 6, 5, 5, 9, 2, 6, 6, 10, 6, 2, 10, 7, 1, 10, 1, 7, 7, 11, 10, 11, 11, 7, 7, 7, 7, 7, 8, 6, 10, 8, 8, 4, 11, 9, 8, 5, 11, 11, 8, 8, 11, 7, 4, 8, 4, 5, 4, 8, 4, 4, 4] 
dag51.txt 4_1x1.txt 0.24242424242424243 0.6 1511424.0 [1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag51.txt 4_1x5.txt 0.5656565656565656 1 339968.0 [1, 6, 1, 1, 6, 4, 7, 2, 4, 6, 8, 0, 1, 4, 0, 9, 1, 7, 8, 8, 0, 0, 0, 5, 8, 5, 2, 8, 5, 1, 8, 0, 5, 5, 9, 2, 4, 4, 8, 8, 5, 2, 8, 2, 5, 2, 6, 6, 4, 4, 0, 6, 8, 5, 3, 3, 6, 3, 2, 4, 6, 3, 8, 2, 6, 6, 6, 6] 
